frame,timestamp,person_id,vehicle_id,centroid_x,centroid_y,in_roi,dwell_time,history_len
187,6.21,4,5,114.5,273.2,False,0,0
187,6.21,6,5,105.5,275.7,False,0,0
188,6.24,4,5,116.9,271.9,False,0,0
188,6.24,6,5,114.0,275.2,False,0,0
188,6.24,7,5,80.8,261.7,False,0,0
189,6.27,4,5,119.3,270.1,False,0,0
189,6.27,6,5,126.4,273.3,False,0,0
189,6.27,7,5,83.6,261.6,False,0,0
190,6.31,4,5,121.7,268.3,False,0,0
190,6.31,6,5,132.4,271.7,False,0,0
190,6.31,7,5,95.1,256.2,False,0,0
190,6.31,8,5,107.0,273.4,False,0,0
191,6.34,4,5,124.9,266.0,False,0,0
191,6.34,6,5,138.8,269.7,False,0,0
191,6.34,7,5,102.7,253.8,False,0,0
191,6.34,8,5,112.5,270.2,False,0,0
192,6.37,4,5,127.6,262.8,False,0,0
192,6.37,6,5,141.3,266.0,False,0,0
192,6.37,7,5,108.6,250.9,False,0,0
192,6.37,8,5,119.9,265.4,False,0,0
193,6.41,4,5,132.5,261.2,False,0,0
193,6.41,6,5,151.6,265.1,False,0,0
193,6.41,7,5,116.6,251.2,False,0,0
193,6.41,8,5,125.7,263.4,False,0,0
194,6.44,4,5,139.8,257.2,False,0,0
194,6.44,6,5,162.1,260.8,False,0,0
194,6.44,7,5,127.0,247.7,False,0,0
194,6.44,8,5,135.8,259.0,False,0,0
195,6.47,4,5,144.9,253.0,False,0,0
195,6.47,6,5,170.5,256.7,False,0,0
195,6.47,7,5,135.1,244.0,False,0,0
195,6.47,8,5,144.0,255.0,False,0,0
196,6.51,6,4,176.6,252.5,False,0,0
196,6.51,7,4,144.6,239.6,False,0,0
196,6.51,8,5,149.1,253.6,False,0,0
197,6.54,6,5,177.1,252.9,False,0,0
197,6.54,7,5,146.1,240.3,False,0,0
197,6.54,8,5,155.0,251.4,False,0,0
198,6.57,6,5,182.7,251.2,False,0,0
198,6.57,7,5,152.5,238.3,False,0,0
198,6.57,8,5,159.1,249.0,False,0,0
199,6.61,6,5,188.4,249.5,False,0,0
199,6.61,7,5,158.9,236.4,False,0,0
199,6.61,8,5,165.1,247.0,False,0,0
200,6.64,6,5,195.2,248.5,False,0,0
200,6.64,7,5,165.3,234.4,False,0,0
200,6.64,8,5,170.8,245.5,False,0,0
201,6.67,6,5,198.4,246.4,False,0,0
201,6.67,7,5,171.7,232.5,False,0,0
201,6.67,8,5,175.6,243.6,False,0,0
202,6.71,6,5,204.7,246.4,False,0,0
202,6.71,7,5,178.1,230.6,False,0,0
202,6.71,8,5,180.6,241.7,False,0,0
203,6.74,6,5,207.8,243.3,False,0,0
203,6.74,7,5,184.5,228.6,False,0,0
203,6.74,8,5,184.9,240.3,False,0,0
204,6.77,6,5,211.8,240.7,False,0,0
204,6.77,7,5,190.9,226.7,False,0,0
204,6.77,8,5,190.2,238.7,False,0,0
205,6.81,6,5,215.8,237.9,True,0,0
205,6.81,7,5,197.3,224.8,False,0,0
205,6.81,8,5,194.3,236.1,False,0,0
206,6.84,6,5,219.8,236.4,True,0.03,1
206,6.84,7,5,203.7,222.8,True,0,0
206,6.84,8,5,199.0,235.0,False,0,0
207,6.87,6,5,223.7,235.0,True,0.07,2
207,6.87,7,5,210.1,220.9,True,0.03,1
207,6.87,8,5,203.2,233.9,True,0,0
208,6.91,6,5,227.3,233.6,True,0.1,3
208,6.91,7,5,216.5,219.0,True,0.07,2
208,6.91,8,5,208.8,232.6,True,0.03,1
209,6.94,6,5,231.7,232.0,True,0.13,4
209,6.94,7,5,222.9,217.0,True,0.1,3
209,6.94,8,5,212.4,230.6,True,0.07,2
210,6.97,6,5,236.0,230.9,True,0.17,5
210,6.97,7,5,229.3,215.1,True,0.13,4
210,6.97,8,5,217.4,229.0,True,0.1,3
211,7.01,6,5,239.3,229.2,True,0.2,6
211,7.01,7,5,235.7,213.2,True,0.17,5
211,7.01,8,5,221.6,227.7,True,0.13,4
212,7.04,6,5,242.8,227.6,True,0.23,7
212,7.04,7,5,242.1,211.2,True,0.2,6
212,7.04,8,5,225.3,226.4,True,0.17,5
213,7.07,6,5,246.4,226.1,True,0.27,8
213,7.07,7,5,248.5,209.3,True,0.23,7
213,7.07,8,5,230.6,225.3,True,0.2,6
214,7.11,6,5,250.7,224.4,True,0.3,9
214,7.11,7,5,254.9,207.4,True,0.27,8
214,7.11,8,5,235.9,223.9,True,0.23,7
215,7.14,6,5,255.0,222.7,True,0.33,10
215,7.14,7,5,261.3,205.4,True,0.3,9
215,7.14,8,5,240.0,222.4,True,0.27,8
216,7.17,6,5,259.3,221.0,True,0.37,11
216,7.17,7,2,314.5,169.1,True,0,0
216,7.17,8,5,243.8,221.1,True,0.3,9
217,7.21,6,5,263.6,219.3,True,0.4,12
217,7.21,7,2,318.5,167.9,True,0.03,1
217,7.21,8,5,246.9,219.8,True,0.33,10
218,7.24,6,5,267.9,217.6,True,0.43,13
218,7.24,7,2,322.6,166.8,True,0.07,2
218,7.24,8,4,241.1,223.2,True,0,0
219,7.27,6,5,272.2,215.9,True,0.47,14
219,7.27,7,2,326.6,165.7,True,0.1,3
219,7.27,8,4,240.2,220.9,True,0.03,1
220,7.31,6,5,276.5,214.2,True,0.5,15
220,7.31,7,2,330.7,164.6,True,0.13,4
220,7.31,8,4,241.1,220.0,True,0.07,2
221,7.34,6,5,280.8,212.5,True,0.53,16
221,7.34,7,2,334.7,163.4,True,0.17,5
221,7.34,8,4,244.5,218.8,True,0.1,3
222,7.37,6,5,278.7,212.3,True,0.57,17
222,7.37,7,2,338.7,162.3,True,0.2,6
222,7.37,8,4,244.0,218.1,True,0.13,4
223,7.41,6,5,282.6,210.7,True,0.6,18
223,7.41,7,2,342.8,161.2,True,0.23,7
223,7.41,8,4,244.5,217.5,True,0.17,5
224,7.44,6,5,286.4,209.1,True,0.63,19
224,7.44,7,2,346.8,160.0,True,0.27,8
224,7.44,8,4,248.6,217.7,True,0.2,6
225,7.47,6,5,287.0,208.5,True,0.67,20
225,7.47,7,2,350.8,158.9,True,0.3,9
225,7.47,8,4,250.7,217.1,True,0.23,7
226,7.51,6,5,289.3,207.4,True,0.7,21
226,7.51,7,1,364.3,157.8,True,0,0
226,7.51,8,4,250.3,216.0,True,0.27,8
227,7.54,6,5,292.3,206.4,True,0.73,22
227,7.54,7,1,368.4,156.7,True,0.03,1
227,7.54,8,4,250.9,213.6,True,0.3,9
228,7.57,6,5,295.1,203.6,True,0.77,23
228,7.57,7,1,372.6,155.6,True,0.07,2
228,7.57,8,4,252.9,213.0,True,0.33,10
229,7.61,6,5,298.1,203.9,True,0.8,24
229,7.61,7,1,376.7,154.4,True,0.1,3
229,7.61,8,4,250.8,215.0,True,0.37,11
230,7.64,6,5,301.2,203.8,True,0.83,25
230,7.64,7,1,380.8,153.2,True,0.13,4
230,7.64,8,4,251.5,214.3,True,0.4,12
231,7.67,6,12,292.8,200.8,True,0,0
231,7.67,7,1,384.8,152.1,True,0.17,5
231,7.67,8,4,249.8,213.1,True,0.43,13
232,7.71,6,12,293.9,200.6,True,0.03,1
232,7.71,7,1,388.9,150.9,True,0.2,6
232,7.71,8,4,251.3,213.6,True,0.47,14
233,7.74,6,12,294.1,200.8,True,0.07,2
233,7.74,7,1,393.0,149.7,True,0.23,7
233,7.74,8,4,253.0,212.5,True,0.5,15
234,7.77,6,12,294.7,200.4,True,0.1,3
234,7.77,7,1,397.1,148.5,True,0.27,8
234,7.77,8,4,254.3,211.5,True,0.53,16
235,7.81,6,12,295.2,199.9,True,0.13,4
235,7.81,7,1,401.2,147.4,True,0.3,9
235,7.81,8,4,255.3,210.7,True,0.57,17
236,7.84,6,12,295.3,199.2,True,0.17,5
236,7.84,7,1,405.2,146.2,True,0.33,10
236,7.84,8,4,258.3,210.5,True,0.6,18
237,7.87,6,12,295.5,198.4,True,0.2,6
237,7.87,7,1,409.3,145.0,True,0.37,11
237,7.87,8,4,259.3,210.9,True,0.63,19
238,7.91,6,12,296.2,198.1,True,0.23,7
238,7.91,7,1,413.4,143.8,True,0.4,12
238,7.91,8,4,260.6,209.1,True,0.67,20
239,7.94,6,12,297.2,197.6,True,0.27,8
239,7.94,7,1,417.5,142.7,True,0.43,13
239,7.94,8,4,261.0,207.6,True,0.7,21
240,7.97,6,12,297.4,197.7,True,0.3,9
240,7.97,7,1,421.6,141.5,True,0.47,14
240,7.97,8,4,261.1,206.9,True,0.73,22
241,8.01,6,12,297.3,198.2,True,0.33,10
241,8.01,7,1,425.6,140.3,True,0.5,15
241,8.01,8,4,261.8,206.6,True,0.77,23
